task_id	model_name	sweep_type	sweep_value	randomness	temperature	checkpoint_path	output_path
0	sgrpo_unidock_rewardsum_loo_1000	paired	1	0.1	0.5	/public/home/xinwuye/ai4s-tool-joint-train/runs/cpgrpo_denovo_pocket_prefix/cpgrpo_denovo_pocket_prefix_sgrpo_ng24_sg8_bs384_lr5e-5_beta5e-3_gw09_q03_sa02_unidock05_rewardsum_loo_20260501_160306/checkpoint-001000/model.ckpt	/public/home/xinwuye/ai4s-tool-joint-train/runs/pocket_prefix_eval/readme_mmgenmol_paired_generation/sgrpo_unidock_rewardsum_loo_1000/paired_1/generated.rows.jsonl
1	sgrpo_unidock_rewardsum_loo_1000	paired	2	0.3	0.8	/public/home/xinwuye/ai4s-tool-joint-train/runs/cpgrpo_denovo_pocket_prefix/cpgrpo_denovo_pocket_prefix_sgrpo_ng24_sg8_bs384_lr5e-5_beta5e-3_gw09_q03_sa02_unidock05_rewardsum_loo_20260501_160306/checkpoint-001000/model.ckpt	/public/home/xinwuye/ai4s-tool-joint-train/runs/pocket_prefix_eval/readme_mmgenmol_paired_generation/sgrpo_unidock_rewardsum_loo_1000/paired_2/generated.rows.jsonl
2	sgrpo_unidock_rewardsum_loo_1000	paired	3	0.5	1.1	/public/home/xinwuye/ai4s-tool-joint-train/runs/cpgrpo_denovo_pocket_prefix/cpgrpo_denovo_pocket_prefix_sgrpo_ng24_sg8_bs384_lr5e-5_beta5e-3_gw09_q03_sa02_unidock05_rewardsum_loo_20260501_160306/checkpoint-001000/model.ckpt	/public/home/xinwuye/ai4s-tool-joint-train/runs/pocket_prefix_eval/readme_mmgenmol_paired_generation/sgrpo_unidock_rewardsum_loo_1000/paired_3/generated.rows.jsonl
3	sgrpo_unidock_rewardsum_loo_1000	paired	4	0.7	1.4	/public/home/xinwuye/ai4s-tool-joint-train/runs/cpgrpo_denovo_pocket_prefix/cpgrpo_denovo_pocket_prefix_sgrpo_ng24_sg8_bs384_lr5e-5_beta5e-3_gw09_q03_sa02_unidock05_rewardsum_loo_20260501_160306/checkpoint-001000/model.ckpt	/public/home/xinwuye/ai4s-tool-joint-train/runs/pocket_prefix_eval/readme_mmgenmol_paired_generation/sgrpo_unidock_rewardsum_loo_1000/paired_4/generated.rows.jsonl
4	sgrpo_unidock_rewardsum_loo_1000	paired	5	0.9	1.7	/public/home/xinwuye/ai4s-tool-joint-train/runs/cpgrpo_denovo_pocket_prefix/cpgrpo_denovo_pocket_prefix_sgrpo_ng24_sg8_bs384_lr5e-5_beta5e-3_gw09_q03_sa02_unidock05_rewardsum_loo_20260501_160306/checkpoint-001000/model.ckpt	/public/home/xinwuye/ai4s-tool-joint-train/runs/pocket_prefix_eval/readme_mmgenmol_paired_generation/sgrpo_unidock_rewardsum_loo_1000/paired_5/generated.rows.jsonl
5	sgrpo_unidock_rewardsum_loo_1000	paired	6	1.0	2.0	/public/home/xinwuye/ai4s-tool-joint-train/runs/cpgrpo_denovo_pocket_prefix/cpgrpo_denovo_pocket_prefix_sgrpo_ng24_sg8_bs384_lr5e-5_beta5e-3_gw09_q03_sa02_unidock05_rewardsum_loo_20260501_160306/checkpoint-001000/model.ckpt	/public/home/xinwuye/ai4s-tool-joint-train/runs/pocket_prefix_eval/readme_mmgenmol_paired_generation/sgrpo_unidock_rewardsum_loo_1000/paired_6/generated.rows.jsonl
